Strain,tokens
Cherry-Fire,"['cherry', 'fire', 'hybrid', 'cherry', 'fire', 'potent', 'mixture', 'cherry', 'pie', 'fire', 'og', 'genetics', 'sweet', 'doughy', 'aroma', 'cherry', 'pie', 'heavy', 'hitting', 'fire', 'og', 'offering', 'heady', 'creative', 'mental', 'state', 'alongside', 'calm', 'centered', 'physical', 'sensation', 'cherry', 'fire', 'similar', 'aroma', 'opens', 'finish', 'notes', 'pepper', 'fuel', 'hashish', 'useful', 'consumers', 'suffer', 'appetite', 'loss', 'chronic', 'pain', 'stress']"
Cherry-Grapefruit,"['cherry', 'grapefruit', 'hybrid', 'creative', 'happy', 'relaxed', 'tingly', 'uplifted', 'berry', 'sweet', 'flowery', 'cherry', 'grapefruit', 'kera', 'super', 'fruity', 'sativa', 'dominant', 'hybrid', 'brings', 'best', 'qualities', 'parent', 'cherry', 'grapefruit', 'position', 'gentle', 'body', 'relaxation', 'nice', 'head', 'buzz', 'best', 'needing', 'muscle', 'relief', 'mood', 'elevation', 'easy', 'grow', 'flower', '9', 'weeks', 'suitable', 'growing', 'indoors', 'outdoors']"
Cherry-Kola,"['cherry', 'kola', 'indica', 'relaxed', 'euphoric', 'happy', 'giggly', 'tingly', 'berry', 'sweet', 'pungent', 'cherry', 'kola', 'indica', 'competed', '2014', 'l', 'cannabis', 'cup']"
Cherry-Kush,"['cherry', 'kush', 'hybrid', 'relaxed', 'uplifted', 'euphoric', 'happy', 'creative', 'sweet', 'berry', 'earthy', 'cross', 'purple', 'afghani', 'og', 'kush', 'cherry', 'kush', 'potent', 'indica', 'dominant', 'hybrid', 'popular', 'medical', 'patients', 'sf', 'bay', 'area', 'called', 'cherry', 'pie', 'flowers', 'range', 'bright', 'vibrant', 'green', 'darker', 'purple', 'tinged', 'red', 'color', 'boast', 'dense', 'coating', 'trichomes', 'reminiscent', 'cherries', 'woody', 'hashy', 'undertone', 'high', 'starts', 'stimulating', 'cerebral', 'fading', 'deep', 'feeling', 'relaxation']"
Cherry-Limeade,"['cherry', 'limeade', 'hybrid', 'relaxed', 'euphoric', 'happy', 'tingly', 'uplifted', 'sweet', 'lime', 'citrus', 'cherry', 'limeade', 'hybrid', 'competed', '2014', 'l', 'cannabis', 'cup']"
Cherry-Og,"['cherry', 'og', 'hybrid', 'euphoric', 'relaxed', 'happy', 'uplifted', 'hungry', 'berry', 'diesel', 'sweet', 'cherry', 'og', 'emerald', 'triangle', 'hybrid', 'cannabis', 'combining', 'cherry', 'thai', 'afghani', 'lost', 'coast', 'og', 'genetics', '50/50', 'hybrid', 'cherry', 'og', 'truly', 'brings', 'best', 'sativa', 'indica', 'worlds', 'delivers', 'body', 'euphoria', 'alongside', 'high', 'flying', 'cerebral', 'lucidity', 'sets', 'expectations', 'fruity', 'cherry', 'aroma', 'express', 'sour', 'diesel']"
Cherry-Pie,"['cherry', 'pie', 'hybrid', 'happy', 'relaxed', 'euphoric', 'uplifted', 'focused', 'sweet', 'berry', 'earthy', 'cherry', 'pie', 'parents', 'granddaddy', 'purple', 'durban', 'poison', 'dense', 'orange', 'hairs', 'touch', 'purple', 'smells', 'sweet', 'sour', 'cherry', 'pie', 'known', 'come', 'minutes', 'stick', 'couple', 'hours']"
Cherry-Pie-Kush,"['cherry', 'pie', 'kush', 'hybrid', 'happy', 'relaxed', 'euphoric', 'giggly', 'sleepy', 'lavender', 'berry', 'sweet', 'cherry', 'pie', 'kush', 'confused', 'cherry', 'pie', 'essentially', 'cherry', 'pie', 'cross', 'durban', 'poison', 'granddaddy', 'purple', 'infused', 'california', 'native', 'san', 'fernando', 'valley', 'og', 'folks', 'claim', 'came', 'cherry', 'pie', '-pron-', 'product', 'cookie', 'fam', 'famous', 'hybrid', 'bright', 'cerebral', 'stilt', 'heavy', 'weight', 'limbs', 'functions', 'medical', 'grade', 'day', 'flower', 'soothing', 'physical', 'discomfort', 'overly', 'sedative', 'expect', 'earthy', 'tart', 'notes', 'linger', 'air', 'coat', 'palate', 'pungent', 'velvety', 'vapor']"
Cherry-Sauce,"['cherry', 'sauce', 'hybrid', 'talkative', 'tingly', 'uplifted', 'creative', 'energetic', 'spicy', 'herbal', 'sweet', 'flowery', 'cherry', 'sauce', 'andromeda', 'delicious', 'cross', 'diverse', 'genetics', 'offspring', 'parent', 'cherry', 'pie', 'sauce', 'cherry', 'sauce', 'complex', 'nuances', 'aroma', 'terpene', 'profile', 'exhibiting', 'skunk', 'spice', 'earth', 'tartness', 'velvety', 'cherry', 'sauce', 'worthy', 'place', 'cannabis', 'connoisseur', 'roster', 'heavy', 'hitting', 'balanced', 'overall', 'stimulating', 'mind', 'rush', 'energy', 'melting', 'vibrating', 'body', 'buzz', 'helps', 'nausea', 'stress', 'sacrificing', 'alertness']"
Cherry-Sherbet,"['cherry', 'sherbet', 'hybrid', 'sleepy', 'giggly', 'aroused', 'talkative', 'tingly', 'berry', 'sweet', 'diesel', 'cherry', 'sherbet', 'indica', 'dominant', 'delight', 'stinky', 'sweet', 'herb', 'genetic', 'cross', 'sour', 'sherbet', 'cherry', 'pie', 'heavy', 'hitting', 'smoke', 'sweet', 'tangy', 'settling', 'eyes', 'melting', 'body', 'coating', 'smoker', 'warm', 'physical', 'buzz', 'coupled', 'unlifted', 'cerebral', 'haze', 'pack', 'bowl', 'fine', 'flower', 'help', 'combat', 'depression', 'chronic', 'anxiety']"
Cherry-Skunk,"['cherry', 'skunk', 'hybrid', 'relaxed', 'happy', 'uplifted', 'aroused', 'hungry', 'earthy', 'sweet', 'skunk', 'cherry', 'skunk', 'indica', 'dominant', 'hybrid', 'genetics', 'skunk', 'dawg', 'poppa', 'cherry', 'blissful', 'euphoric', 'settle', 'help', 'dissolve', 'stress', 'bad', 'moods', 'calming', 'qualities', 'encourage', 'rest', 'relaxation', 'provides', 'burst', 'cerebral', 'energy', 'expands', 'mind', 'feed', 'creativity', 'introspection']"
Cherry-Slyder,"['cherry', 'slyder', 'hybrid', 'focused', 'uplifted', 'happy', 'relaxed', 'sweet', 'earthy', 'pine', 'cherry', 'slyder', 'balanced', 'hybrid', 'cross', 'northern', 'lights', '4', 'afghani', 'sweet', 'fruit', 'forward', 'accompanied', 'earthy', 'woody', 'notes', 'speak', 'afghani', 'genetics', 'relaxing', 'overly', 'weighted', 'helping', 'consumers', 'stimulate', 'appetite', 'discarding', 'anxiety', 'stress', 'remains', 'functional', 'taking', 'edge', 'repetitive', 'tasks', 'chores']"
Cherry-Thunder-Fuck,"['cherry', 'thunder', 'fuck', 'hybrid', 'uplifted', 'happy', 'energetic', 'euphoric', 'focused', 'berry', 'pungent', 'earthy', 'cherry', 'thunder', 'fuck', 'ultra', 'pungent', 'unique', 'long', 'lasting', 'created', 'breeding', 'cherry', 'bomb', 'mother', 'maple', 'leaf', 'indica', 'x', 'matanuska', 'thunder', 'fuck', 'cross', 'cherry', 'thunder', 'fuck', 'array', 'pungent', 'earthy', 'aromas', 'wrapped', 'overripe', 'cherries', 'elevated', 'euphoria', 'pleasant', 'pressure', 'eyes', 'canadian', 'native', 'works', 'relieve', 'minor', 'pain', 'infusing', 'mind', 'uplifting', 'alertness', 'enjoy', 'cherry', 'thunder', 'fuck', 'calm', 'body', 'stimulating', 'appetite', 'improving', 'mood']"
Chicle,"['chicle', 'hybrid', 'aroused', 'euphoric', 'focused', 'happy', 'hungry', 'ammonia', 'diesel', 'mint', 'chicle', 'aka', 'bubbledawg', 't', 'h', 'award', 'winning', 'flower', 'plentiful', 'resin', 'production', 'commonsense', 'cross', 'bubble', 'gum', 'chemdawg', 'yields', 'beautiful', 'green', 'knotted', 'copper', 'hairs', 'covered', 'glittering', 'resin', 'flower', 'large', 'resin', 'glands', 'vigorous', 'growth', 'ideal', 'producing', 'hash', 'cannabis', 'concentrates', 'chicle', 'won', '1st', 'place', 'resin', '2015', 'expogrow', 'irun', 'spain', '3rd', 'place', 'resin', 'spannabis', 'champions', 'cup', 'barcelona', 'chicle', 'bouquet', 'mixture', 'sweet', 'bubblegum', 'fuel', 'forward', 'terpenes']"
Chiesel,"['chiesel', 'hybrid', 'happy', 'euphoric', 'relaxed', 'uplifted', 'focused', 'diesel', 'pungent', 'cheese', 'big', 'buddha', 'cheese', 'nyc', 'diesel', 'come', 'form', 'chiesel', 'cannabis', 'variety', 'strong', 'expected', 'considering', 'chiesel', 'provides', 'euphoric', 'functional', 'stone', 'chiesel', 'known', 'high', 'yield', 'optimum', 'conditions']"
China-Yunnan,"['china', 'yunnan', 'indica', 'uplifted', 'happy', 'relaxed', 'euphoric', 'sleepy', 'sweet', 'earthy', 'cheese', 'china', 'yunnan', 'deep', 'indica', 'relaxation', 'meets', 'sweet', 'woody', 'sativa', 'varieties', 'south', 'asia', 'southern', 'chinese', 'province', 'yunnan', 'ace', 'cultivated', '80', 'indica', 'heavy', 'resin', 'production', 'resilience', 'garden', 'china', 'yunnan', 'onset', 'begins', 'happy', 'headspace', 'heightened', 'sensory', 'awareness', 'followed', 'body', 'calm', 'eases', 'pain', 'sleeplessness', 'anxiety', 'hardy', 'indica', 'grows', 'best', 'indoors', '8', '9', 'flowering', 'time', 'outdoor', 'gardens', 'warm', 'dry', 'climates', 'fare']"
Chiquita-Banana,"['chiquita', 'banana', 'hybrid', 'happy', 'euphoric', 'uplifted', 'relaxed', 'creative', 'sweet', 'orange', 'lemon', 'chiquita', 'banana', 'utoptia', 'farms', 'takes', 'banana', 'og', 'cut', 'level', 'average', 'thc', 'percentage', 'pushing', '33', 'cross', 'parent', 'og', 'kush', 'banana', 'chiquita', 'banana', 'leads', 'potent', 'heady', 'sizzle', 'likely', 'brought', 'enormous', 'quantity', 'thc', 'melds', 'kush', 'esque', 'body', 'buzz', 'relaxing', 'sedative', 'kush', 'continue', 'gain', 'potency', 'time', 'creeping', 'body', 'powerful', 'hybrid', 'outstanding', 'option', 'patients', 'struggling', 'hurdle', 'tolerance', 'barrier', 'suited', 'suffering', 'chronic', 'pain', 'nausea']"
Chloe,"['chloe', 'hybrid', 'creative', 'euphoric', 'uplifted', 'talkative', 'focused', 'earthy', 'spicy', 'herbal', 'sweet', 'chloe', 'powerful', 'mysterious', 'sativa', 'dominant', 'hybrid', 'created', 'chris', 'wren', 'medizin', 'las', 'vegas', 'won', '1st', 'place', 'international', 'cannagraphic', 'magazine', 'cup', '2015', 'gone', 'accrue', 'local', 'renown', 'praise', 'incredible', 'medicinal', 'qualities', 'leans', '60/40', 'sativa', 'dominant', 'possesses', 'potency', 'physical', 'sedation', 'lull', 'experienced', 'person', 'sleep', 'continued', 'consumption', 'chloe', 'welcome', 'companion', 'patients', 'seeking', 'relief', 'wide', 'variety', 'ailments', 'loss', 'appetite', 'chronic', 'pain']"
Chocoholic,"['chocoholic', 'hybrid', 'chocoholic', 'mighty', 'irish', 'flavorful', 'hybrid', 'rich', 'colors', 'cross', 'chocolope', 'skunkberry', 'daluxberry', 'carries', 'earthy', 'sweet', 'aroma', 'stinks', 'dutch', 'coffee', 'shop', 'creep', 'body', 'weighing', 'consumer', 'continued', 'consumption', 'chocoholic', 'develops', 'medium', 'sized', 'plant', 'average', 'yield', 'average', 'potency']"
Chocolate-Chunk,"['chocolate', 'chunk', 'indica', 'relaxed', 'sleepy', 'happy', 'euphoric', 'hungry', 'sweet', 'woody', 'earthy', 'chocolate', 'chunk', 't', 'h', 'pure', 'indica', 'meld', 'couch', 'fast', 'flowering', '55', 'days', 'great', 'sea', 'green', 'growing', 'method']"
Chocolate-Diesel,"['chocolate', 'diesel', 'sativa', 'euphoric', 'energetic', 'happy', 'creative', 'uplifted', 'diesel', 'woody', 'nutty', 'chocolate', 'diesel', 'sativa', 'cannabis', 'brings', 'genetics', 'original', 'sour', 'diesel', 'chocolate', 'thai', 'soaring', 'euphoria', 'shoots', 'straight', 'head', 'chocolate', 'diesel', 'easily', 'compared', 'cup', 'coffee', 'little', 'parents', 'notes', 'earthy', 'chocolate', 'skunky', 'diesel']"
Chocolate-Drop,"['chocolate', 'drop', 'hybrid', 'uplifted', 'euphoric', 'giggly', 'happy', 'relaxed', 'earthy', 'vanilla', 'chocolate', 'drop', 'supposed', 'cross', 'chocolate', 'kush', 'lowryder', 'indica', 'dominant', 'hybrid', 'squat', 'plants', 'tree', 'shaped', 'reek', 'incense', 'cocoa', 'pungent', 'earth', 'citrus', 'relaxing', 'overly', 'sedative', 'kind', 'uplifting', 'euphoria', 'enjoy', 'chocolate', 'drop', 'day', 'help', 'relieve', 'stress', 'improve', 'mood', 'manage', 'anxiety']"
Chocolate-Fondue,"['chocolate', 'fondue', 'sativa', 'uplifted', 'relaxed', 'happy', 'euphoric', 'focused', 'sweet', 'cheese', 'earthy', 'chocolate', 'fondue', 'dna', 'genetics', 'sativa', 'dominant', 'cross', 'balances', 'uplifting', 'chocolope', 'relaxing', 'unique', 'exodus', 'cheese', 'chocolate', 'fondue', 'relax', 'body', 'calm', 'mind', 'blissful', 'state', 'consciousness', 'complex', 'bouquet', 'sweet', 'cannabis', 'enjoyable', 'day', 'night']"
Chocolate-Hashberry,"['chocolate', 'hashberry', 'hybrid', 'relaxed', 'happy', 'euphoric', 'uplifted', 'sleepy', 'berry', 'earthy', 'sweet', 'chocolate', 'hashberry', 'aromatic', 'quality', 'beautiful', 'foliage', 'indicative', 'chocolate', 'hashberry', 'reeks', 'chocolate', 'hashy', 'spice', 'sweet', 'berries', 'delicious', 'scent', 'comes', 'combining', 'fantastic', 'kush', 'cuts', 'chocolate', 'kush', 'blackberry', 'kush', 'excellent', 'aroma', 'chocolate', 'hashberry', 'kush', 'delightful', 'mid', 'level', 'sedation', 'relaxed', 'mental', 'state', 'helps', 'curb', 'anxiety', 'minor', 'pain', 'enhancing', 'mood', 'focus']"
Chocolate-Kush,"['chocolate', 'kush', 'indica', 'relaxed', 'sleepy', 'euphoric', 'happy', 'hungry', 'earthy', 'sweet', 'woody', 'chocolate', 'kush', '00', 'powerful', 'indica', 'captures', 'best', 'parent', 'mazar', 'resin', 'oozing', 'lends', 'potent', 'body', 'euphoria', 'pure', 'indica', 'parent', 'passes', 'pungent', 'aroma', 'hashy', 'incense', 'chocolate', 'grows', 'medium', 'sized', 'plants', 'christmas', 'tree', 'structure', 'flowers', '56', '60', 'days', 'sativa', 'dominant', 'chocolope', 'kush', 'goes', 'chocolate', 'kush', 'sure', 'confirm', 'genetics', 'budtender', '-pron-', 'looking', 'heavy', 'handed', 'indica']"
Chocolate-Meringue,"['chocolate', 'meringue', 'indica', 'chocolate', 'meringue', 'sweet', 'offering', 'thclones', 'created', 'crossing', 'lemon', 'tree', 'chocolate', 'kush', 'chocolate', 'meringue', 'imbues', 'consumers', 'talkative', 'euphoric', 'buzz', 'known', 'elevate', 'mood', 'reduce', 'stress', 'blissful', 'terpene', 'profile', 'thick', 'honey', 'pine', 'cacao', 'meyer', 'lemon', 'sweet', 'zestful', 'taste', 'bulky', 'stress', 'melting', 'indica', 'great', 'complement', 'social', 'events', 'dinner', 'plans']"
Chocolate-Og,"['chocolate', 'og', 'indica', 'relaxed', 'uplifted', 'euphoric', 'aroused', 'tingly', 'sweet', 'earthy', 'pungent', 'chocolate', 'og', 'chocolatey', 'genetic', 'cross', 'thclones', 'created', 'union', 'pungent', 'parent', 'true', 'og', 'chocolate', 'rain', 'indica', 'dominant', 'genetics', 'relaxing', 'qualities', 'heavier', 'continued', 'consumption', 'giggly', 'euphoria', 'bright', 'citrus', 'grapefruit', 'aromas', 'speak', 'traditional', 'og', 'attributes', 'inherited', 'true', 'og', 'taste', 'takes', 'cheesy', 'nutty', 'combustion', 'leaving', 'savory', 'note', 'palate']"
Chocolate-Rain,"['chocolate', 'rain', 'hybrid', 'creative', 'happy', 'talkative', 'uplifted', 'energetic', 'sweet', 'vanilla', 'coffee', 'chocolate', 'rain', 'eskobar', 'flavorful', 'mashup', 'exceptional', 'genetic', 'stock', 'exceptional', 'breeders', 'indica', 'dominant', 'hybrid', 'cross', 'dna', 'genetics', 'chocolope', 'dj', 'short', 'cocoa', 'kush', 'twice', 'deep', 'chocolate', 'pairing', 'emits', 'bittersweet', 'cocoa', 'aroma', 'touches', 'blueberry', 'floral', 'kush', 'notes', 'finish', 'balanced', 'offering', 'happy', 'relaxing', 'mental', 'physical', 'overwhelming', 'chocolate', 'rain', 'decent', 'yield', 'average', '9', '10', 'flowering', 'period']"
Chocolate-Sap,"['chocolate', 'sap', 'hybrid', 'talkative', 'uplifted', 'energetic', 'happy', 'euphoric', 'citrus', 'skunk', 'chemical', 'chocolate', 'sap', 'taste', 'budz', 'citrus', 'sap', 'gorilla', 'glue', '4', 'x', 'tangie', 'phenotype', 'leans', 'heavily', 'chocolate', 'diesel', 'genetics', 'gorilla', 'glue', '4', 'parent', 'originally', 'nicknamed', 'gorilla', 'sap', 'chocolate', 'sap', 'pungent', 'chemical', 'bouquet', 'gg4', 'chocolatey', 'herbal', 'taste', 'palate', 'subtle', 'smooth', 'notes', 'cocoa', 'nibs', 'basil', 'open', 'gentle', 'citrus', 'finish', 'balanced', 'hybrid', 'truly', 'recreational', 'improving', 'mood', 'outlook', 'flavorful', 'puff']"
Chocolate-Thai,"['chocolate', 'thai', 'sativa', 'uplifted', 'happy', 'energetic', 'focused', 'creative', 'spicy', 'herbal', 'coffee', 'woody', 'legendary', 'landrace', 'thailand', 'chocolate', 'thai', 'appearance', 'u', 's', '1960s', 'thai', 'sticks', 'spindly', 'flowers', 'tied', 'bamboo', 'stick', 'renowned', 'potent', 'high', 'old', 'school', 'heads', 'remember', 'slender', 'airy', 'medium', 'dark', 'brown', 'color', 'possessing', 'unique', 'chocolate', 'coffee', 'aroma', 'fact', 'long', 'flowering', 'low', 'yielding', 'sativa', 'produced', 'male', 'flowers', 'incredibly', 'difficult', 'clone', 'grow', 'likely', 'chocolate', 'thai', 'longer', 'exists', 'original', 'form', 'lines', 'sold', 'crossbred', 'provide', 'stabilizing', 'traits', 'unknown', 'provenance']"
Chocolate-Thunder,"['chocolate', 'thunder', 'sativa', 'uplifted', 'creative', 'happy', 'energetic', 'focused', 'honey', 'nutty', 'spicy', 'herbal', 'sweet', 'cocoa', 'chocolope', 'strength', 'potency', 'alaskan', 'thunder', 'fuck', 'chocolate', 'thunder', 'clear', 'headed', 'active', 'sativa', 'need', 'inspire', 'creativity', 'promote', 'concentration', 'patients', 'appreciate', 'ability', 'dull', 'symptoms', 'fogging', 'mental', 'faculties', 'true', 'chocolate', 'thunder', 'subtle', 'sweet', 'earthy', 'aroma', 'similar', 'chocolate']"
Chocolate-Tonic,"['chocolate', 'tonic', 'hybrid', 'chocolate', 'tonic', 'purple', 'caper', '1:1', 'cbd', 'thc', 'helped', 'medical', 'cannabis', 'patients', 'west', 'coast', 'created', 'crossing', 'chocolate', 'kush', 'cannatonic', 'chocolate', 'tonic', 'harnesses', 'best', 'parts', 'soothing', 'relief', 'inflammation', 'anxiety', 'nausea', 'alongside', 'enjoyable', 'buzz', 'chocolate', 'tonic', 'distinct', 'pine', 'cocoa', 'aroma', 'bit', 'herbaceous', 'sweet', 'palate']"
Chocolope,"['chocolope', 'sativa', 'happy', 'uplifted', 'energetic', 'focused', 'euphoric', 'coffee', 'earthy', 'sweet', 'dna', 'genetics', 'developed', 'chocolope', 'crossing', 'chocolate', 'thai', 'cannalope', 'haze', 'create', 'homage', 'chocolate', '1980s', 'hefty', 'sativa', 'earthy', 'sweet', 'coffee', 'provide', 'dreamy', 'cerebral', 'consumers', 'strong', 'euphoric', 'mental', 'shift', 'great', 'coping', 'depression', 'stress']"
Chocolope-Kush,"['chocolope', 'kush', 'hybrid', 'happy', 'creative', 'focused', 'uplifted', 'euphoric', 'earthy', 'sweet', 'vanilla', 'chocolope', 'kush', 'known', 'chocolate', 'kush', 'sativa', 'dominant', 'chocolope', 'multiple', 'cannabis', 'cup', 'winner', 'kosher', 'kush', 'kosher', 'kush', 'runner', 'cannabis', 'event', 'competed', 'published', 'high', 'times', '7th', 'overall', 'strongest', 'world', 'chocolope', 'kush', 'dense', 'dark', 'colored', 'large', 'white', 'crystals', 'known', 'aroma', 'vanilla', 'mixed', 'chocolate', 'high', 'described', 'heavy', 'cerebral', 'thc', 'content', '14', 'cbd', 'approximately', '1']"
Chong-Star,"['chong', 'star', 'hybrid', 'relaxed', 'happy', 'uplifted', 'creative', 'euphoric', 'honey', 'earthy', 'skunk', 'chong', 'star', 'named', 'honor', 'tommy', 'chong', 'hybrid', 'cultivated', 'sold', 'marisol', 'therapeutics', 'pueblo', 'colorado']"
Chronic,"['chronic', 'hybrid', 'relaxed', 'happy', 'giggly', 'euphoric', 'energetic', 'woody', 'spicy', 'herbal', 'sweet', 'word', 'chronic', 'commonplace', 'descriptor', 'high', 'quality', 'marijuana', 'chronic', 'balanced', 'hybrid', 'cross', 'northern', 'lights', 'skunk', 'ak', '47', 'originally', '1994', 'ak', '47', 'later', 'introduced', 'genetic', 'mix', 'increase', 'resin', 'content', 'complexity', 'diminishing', 'yields', 'sweet', 'honey', 'flower', 'spice', 'color', 'aroma', 'renowned', 'hybrid', 'extra', 'care', 'drying', 'process', 'delicate', 'scent', 'easily', 'lost', 'chronic', 'forms', 'massive', 'colas', 'leaves', 'topping', 'high', 'yielder', 'advisable']"
Chronic-Thunder,"['chronic', 'thunder', 'indica', 'relaxed', 'happy', 'euphoric', 'sleepy', 'tingly', 'pungent', 'sweet', 'diesel', 'chronic', 'thunder', 'indica', 'barney', 'farm', 'body', 'alongside', 'funky', 'diesel', 'spicy', 'pepper', 'aroma', 'save', 'heavy', 'hitter', 'day', 'find', 'list', 'blank', 'indica', 'stuck', 'comfortable', 'place', 'moderate', 'levels', 'cbd', 'chronic', 'thunder', 'preferred', 'resolving', 'insomnia', 'pain', 'upset', 'stomachs']"
Chuckys-Bride,"['chuckys', 'bride', 'hybrid', 'giggly', 'happy', 'energetic', 'euphoric', 'talkative', 'pungent', 'lemon', 'flowery', 'chucky', 'bride', 'cross', 'exodus', 'cheese', 'cinderella', '99', 'eskobar', 'sativa', 'dominant', 'hybrid', 'exotic', 'mixture', 'sharp', 'cinderella', '99', 'tropical', 'aroma', 'sweet', 'citrus', 'pineapple', 'blend', 'pungent', 'notes', 'skunky', 'cheese', 'synonymous', 'cheese', 'unique', 'terpene', 'profile', 'leads', 'charge', 'uplifting', 'creative', 'stimulate', 'appetite', 'ward', 'depression']"
